# INSIDE FILES LOOP
# new_prof_[0]
0 0.861497  0.000148814
1 1.46944   0.000289453
2 2.48612   0.000642955
3 3.36205   0.00121497
4 4.23916   0.00220487
5 5.13161   0.00390145
6 6.0021    0.00677374
7 6.84273   0.0117305
8 7.65503   0.0201352
9 8.4023    0.0343761
10 9.2288   0.0579163
11 10.0395  0.103916
12 10.6681  0.139908
# new_prof_[1]
0 0.732367  0.000145603
1 1.52108   0.000284191
2 2.70062   0.000644448
3 3.74544   0.00123051
4 4.79378   0.00225764
5 5.85923   0.00402003
6 6.9047    0.00698007
7 7.91723   0.0120848
8 8.89695   0.0205749
9 9.83353   0.0352854
10 10.8209  0.0595294
11 11.8484  0.10744
12 12.6934  0.155977
# new_prof_[2]
0 1.17314   0.000250543
1 1.34479   0.000439359
2 1.96839   0.000945666
3 2.43673   0.00173475
4 2.90056   0.00308317
5 3.37547   0.00542067
6 3.82364   0.00942395
7 4.24935   0.0163827
8 4.6576    0.0286595
9 4.94796   0.0488091
10 5.38627  0.087849
11 5.67364  0.146916
12 5.78003  0.217542
# new_prof_[3]
0 1.01888   0.000193327
1 0.970489  0.000283988
2 1.08884   0.000547129
3 1.15832   0.00093403
4 1.22116   0.00158233
5 1.28343   0.0026736
6 1.34299   0.00453765
7 1.37823   0.0075994
8 1.43757   0.0129369
9 1.49936   0.0227547
10 1.49876  0.0367695
11 1.58687  0.0637726
12 1.45569  0.091935
# new_prof_[4]
0 1.03003   0.000237758
1 0.94704   0.000347286
2 1.04583   0.000669123
3 1.09523   0.00114082
4 1.14033   0.00192792
5 1.18737   0.0032515
6 1.24  0.00549749
7 1.26483   0.00916493
8 1.28095   0.0156543
9 1.32749   0.0267643
10 1.31003  0.0450186
11 1.48687  0.0775548
12 1.293    0.117352
# new_prof_[5]
0 1.00737   0.000239829
1 0.994453  0.000359467
2 1.13284   0.000701141
3 1.2229    0.00120641
4 1.30394   0.0020597
5 1.3818    0.00350972
6 1.44845   0.00597541
7 1.49437   0.010059
8 1.59801   0.0171265
9 1.67542   0.0301609
10 1.69211  0.0496494
11 1.68925  0.0866296
12 1.62234  0.131482
# new_prof_[6]
0 0.963388  0.000170014
1 0.996539  0.000258905
2 0.953869  0.000472288
3 0.932912  0.00078241
4 0.914124  0.00128833
5 0.896527  0.00212693
6 0.873931  0.00350363
7 0.862741  0.00572896
8 0.851514  0.00955452
9 0.852608  0.0158299
10 0.836744 0.0267522
11 0.747165 0.040544
12 0.910207 0.07427
# new_prof_[7]
0 0.992412  0.000228516
1 0.94847   0.000341435
2 0.948478  0.000628747
3 0.93717   0.00104272
4 0.928634  0.0017225
5 0.919757  0.00284437
6 0.902421  0.0046947
7 0.886698  0.00770189
8 0.899332  0.0128009
9 0.861263  0.0208723
10 0.878819 0.0359293
11 0.794241 0.0545995
12 0.874756 0.100941
# new_prof_[8]
0 0.93241   0.000235444
1 1.04785   0.000370148
2 0.959623  0.000663525
3 0.928367  0.00109253
4 0.898637  0.00178497
5 0.871732  0.00293475
6 0.843522  0.00483119
7 0.83717   0.00787645
8 0.800475  0.0129331
9 0.84337   0.0218162
10 0.791834 0.0377529
11 0.696918 0.0564418
12 0.948046 0.103948
# INSIDE FILES LOOP
# new_prof_[9]
0 0.859046  0.000148376
1 1.46519   0.000288431
2 2.47948   0.000640224
3 3.35386   0.00121254
4 4.23376   0.00220777
5 5.11912   0.00391117
6 5.98755   0.00678091
7 6.82813   0.0117581
8 7.65111   0.0205912
9 8.44683   0.0350589
10 9.15968  0.0569804
11 9.85249  0.104914
12 10.6378  0.17423
# new_prof_[10]
0 0.728884  0.000144719
1 1.51454   0.000282055
2 2.69022   0.000639753
3 3.73276   0.00122491
4 4.78203   0.00225259
5 5.83746   0.00400976
6 6.88196   0.00696991
7 7.89103   0.012076
8 8.88497   0.021034
9 9.83872   0.0358702
10 10.7352  0.0589759
11 11.5704  0.107422
12 12.5395  0.175385
# new_prof_[11]
0 1.17318   0.0002507
1 1.34607   0.000439891
2 1.97085   0.000945831
3 2.43935   0.00173707
4 2.9105    0.00310166
5 3.38535   0.00546274
6 3.82884   0.00948328
7 4.26276   0.0164298
8 4.67315   0.0292572
9 5.08744   0.0490382
10 5.35706  0.0841828
11 5.70616  0.161483
12 6.0479   0.274119
# new_prof_[12]
0 1.01848   0.000193471
1 0.970126  0.000283896
2 1.08982   0.000547327
3 1.15753   0.000935748
4 1.22323   0.00158433
5 1.27966   0.00269842
6 1.33723   0.0045381
7 1.38427   0.00761679
8 1.42753   0.0133115
9 1.51047   0.0227424
10 1.46813  0.0345729
11 1.53117  0.0627234
12 1.6041   0.109624
# new_prof_[13]
0 1.02952   0.00023793
1 0.946365  0.000347111
2 1.04628   0.000669039
3 1.09477   0.00114265
4 1.14393   0.00193375
5 1.18942   0.00328085
6 1.22788   0.00550896
7 1.26498   0.00920858
8 1.26573   0.0157793
9 1.36407   0.0272302
10 1.2965   0.0412205
11 1.45909  0.0790923
12 1.49736  0.131307
# new_prof_[14]
0 1.00708   0.000239976
1 0.994409  0.000359556
2 1.13437   0.000701784
3 1.22178   0.00120897
4 1.30442   0.0020618
5 1.37206   0.00353066
6 1.44921   0.00597732
7 1.50644   0.0101138
8 1.59328   0.0177811
9 1.66043   0.0295346
10 1.64395  0.0471606
11 1.60494  0.078452
12 1.7134   0.161274
# new_prof_[15]
0 0.963338  0.000170076
1 0.996169  0.000258989
2 0.954335  0.000473054
3 0.931947  0.000782385
4 0.91465   0.0012915
5 0.902143  0.00213903
6 0.876134  0.00350822
7 0.862997  0.00574786
8 0.863483  0.00979763
9 0.834829  0.0164181
10 0.823539 0.0265809
11 0.828665 0.0441167
12 0.803068 0.0723107
# new_prof_[16]
0 0.992287  0.000228627
1 0.949077  0.000341745
2 0.949785  0.000629602
3 0.937941  0.00104386
4 0.929986  0.00172491
5 0.925778  0.00286682
6 0.907271  0.00469565
7 0.892723  0.00774811
8 0.89468   0.0130909
9 0.873031  0.0214902
10 0.867223 0.0359119
11 0.874502 0.062528
12 0.755074 0.0917544
# new_prof_[17]
0 0.932438  0.000235567
1 1.04643   0.000370029
2 0.959191  0.00066409
3 0.925548  0.0010929
4 0.898281  0.0017913
5 0.876915  0.00294971
6 0.842899  0.00480607
7 0.831268  0.00788303
8 0.830185  0.0134241
9 0.794054  0.0217708
10 0.776912 0.0359213
11 0.77974  0.0592602
12 0.854294 0.101378
# INSIDE FILES LOOP
# new_prof_[18]
0 0.857861  0.000148175
1 1.46281   0.000288115
2 2.47741   0.000640399
3 3.35252   0.00121286
4 4.22986   0.00220552
5 5.12432   0.00392362
6 5.98472   0.00682312
7 6.837 0.0117917
8 7.64187   0.0202021
9 8.40025   0.0348073
10 9.16571  0.0557459
11 10.1295  0.102948
12 10.6337  0.168613
# new_prof_[19]
0 0.727913  0.000144496
1 1.51268   0.000281752
2 2.68829   0.000639729
3 3.73223   0.00122549
4 4.77802   0.00224895
5 5.84439   0.00402648
6 6.87999   0.0070123
7 7.89499   0.0120619
8 8.86744   0.0204881
9 9.79075   0.0354195
10 10.7234  0.0570353
11 11.9424  0.105768
12 12.5354  0.164947
# new_prof_[20]
0 1.17148   0.000250422
1 1.34245   0.000439401
2 1.96841   0.000946207
3 2.43606   0.00173722
4 2.90685   0.00309965
5 3.38637   0.00547486
6 3.82394   0.00953266
7 4.28348   0.0165874
8 4.68389   0.0287763
9 5.04421   0.0506283
10 5.40613  0.0822398
11 5.75408  0.154188
12 6.04388  0.279263
# new_prof_[21]
0 1.01833   0.000193249
1 0.969963  0.00028377
2 1.08772   0.000547251
3 1.15843   0.000935549
4 1.22021   0.00158593
5 1.28567   0.00269713
6 1.33804   0.00455105
7 1.38855   0.00770109
8 1.42517   0.0129899
9 1.50326   0.0230201
10 1.54152  0.0380826
11 1.58018  0.0620407
12 1.4564   0.0970878
# new_prof_[22]
0 1.02956   0.000237685
1 0.946605  0.000346984
2 1.04503   0.000669203
3 1.09615   0.00114246
4 1.13949   0.00193204
5 1.19164   0.00328235
6 1.23145   0.0055127
7 1.26347   0.00930752
8 1.28726   0.0155907
9 1.37593   0.0273879
10 1.40994  0.0445046
11 1.36354  0.0751303
12 1.3893   0.113139
# new_prof_[23]
0 1.00674   0.000239685
1 0.993833  0.00035926
2 1.1314    0.000701263
3 1.22219   0.00120934
4 1.30287   0.00206832
5 1.38196   0.00353123
6 1.4472    0.00601086
7 1.51667   0.0101915
8 1.56643   0.0172212
9 1.63367   0.0300284
10 1.67628  0.050602
11 1.80215  0.0827607
12 1.52508  0.122295
# new_prof_[24]
0 0.963107  0.000169927
1 0.996444  0.000258965
2 0.954598  0.000473303
3 0.932219  0.000783964
4 0.915179  0.00129136
5 0.892768  0.00213544
6 0.880022  0.00353715
7 0.866766  0.00585533
8 0.843961  0.00960364
9 0.871164  0.0162927
10 0.821996 0.0257462
11 0.746094 0.0410157
12 0.845024 0.0711873
# new_prof_[25]
0 0.992179  0.000228475
1 0.949284  0.00034174
2 0.949576  0.000629799
3 0.938182  0.00104539
4 0.931726  0.00172719
5 0.917077  0.00285886
6 0.906272  0.00472246
7 0.887094  0.00783454
8 0.891545  0.0129751
9 0.90478   0.0219919
10 0.867149 0.0350837
11 0.777365 0.0565314
12 0.896637 0.0990616
# new_prof_[26]
0 0.932077  0.000235307
1 1.04678   0.000370083
2 0.959958  0.000664496
3 0.925854  0.00109399
4 0.897517  0.00179197
5 0.866821  0.00294696
6 0.852004  0.00486407
7 0.845068  0.00805178
8 0.793171  0.0129535
9 0.835285  0.0225924
10 0.773801 0.0348336
11 0.712717 0.0533924
12 0.789935 0.0967311
# INSIDE FILES LOOP
# new_prof_[27]
0 0.85818   0.00014829
1 1.46269   0.000288326
2 2.47862   0.000641795
3 3.35134   0.0012132
4 4.23575   0.00220856
5 5.12188   0.00391256
6 6.00201   0.00682598
7 6.86268   0.0119555
8 7.59517   0.0202288
9 8.40928   0.0336946
10 9.25443  0.0596614
11 9.87827  0.0955543
12 10.564   0.159683
# new_prof_[28]
0 0.728081  0.00014459
1 1.51267   0.000282008
2 2.68955   0.000641243
3 3.73096   0.00122575
4 4.78481   0.00225512
5 5.84092   0.00401298
6 6.89773   0.00702749
7 7.91943   0.0121705
8 8.81333   0.0203123
9 9.81074   0.034275
10 10.8036  0.0612026
11 11.5528  0.0974719
12 12.4813  0.166215
# new_prof_[29]
0 1.17216   0.000250624
1 1.34205   0.000439536
2 1.9695    0.000947617
3 2.43509   0.00173822
4 2.91055   0.00309687
5 3.38642   0.00546444
6 3.84013   0.00954211
7 4.31215   0.0168296
8 4.65507   0.0294673
9 5.02681   0.0492577
10 5.51549  0.085936
11 5.83672  0.15494
12 5.93671  0.23808
# new_prof_[30]
0 1.01871   0.000193342
1 0.970416  0.000283834
2 1.08761   0.000547155
3 1.15833   0.000937492
4 1.22308   0.00158885
5 1.28465   0.00269604
6 1.34052   0.00457966
7 1.39485   0.00771525
8 1.44658   0.0129359
9 1.48703   0.0223025
10 1.54021  0.0386655
11 1.50108  0.0590416
12 1.69341  0.0963169
# new_prof_[31]
0 1.03008   0.00023787
1 0.947302  0.000347177
2 1.04518   0.000670159
3 1.09383   0.00114268
4 1.14454   0.00193391
5 1.18902   0.00327997
6 1.22894   0.00554088
7 1.26715   0.00924399
8 1.32507   0.0157075
9 1.32923   0.0263948
10 1.41332  0.0482332
11 1.36093  0.075281
12 1.47863  0.122245
# new_prof_[32]
0 1.00698   0.000239782
1 0.994036  0.000359407
2 1.13101   0.000701098
3 1.22436   0.00121262
4 1.3035    0.00207029
5 1.38257   0.00353767
6 1.45481   0.00603999
7 1.52565   0.0102353
8 1.57103   0.0172365
9 1.64869   0.0299932
10 1.67016  0.049646
11 1.64463  0.0740757
12 1.91346  0.13995
# new_prof_[33]
0 0.963286  0.000170019
1 0.996423  0.000259063
2 0.954426  0.000473273
3 0.933847  0.00078469
4 0.916758  0.0012975
5 0.895991  0.00214384
6 0.875831  0.00351762
7 0.866971  0.00580459
8 0.843142  0.00951389
9 0.839038  0.0162543
10 0.803286 0.0266959
11 0.817638 0.0449253
12 0.641002 0.0696926
# new_prof_[34]
0 0.992184  0.000228554
1 0.949247  0.00034188
2 0.950073  0.000630318
3 0.938829  0.00104605
4 0.933284  0.00173241
5 0.92505   0.0028695
6 0.906081  0.00470642
7 0.895039  0.00775523
8 0.883008  0.0129631
9 0.880938  0.0218779
10 0.797052 0.0349838
11 0.867126 0.0596107
12 0.64124  0.0881722
# new_prof_[35]
0 0.93244   0.000235454
1 1.04678   0.000370176
2 0.959072  0.000664751
3 0.92853   0.00109552
4 0.899119  0.001795
5 0.864973  0.00295216
6 0.843542  0.00483721
7 0.837012  0.00795727
8 0.800591  0.01294
9 0.794314  0.0220378
10 0.809941 0.0376584
11 0.764816 0.0575999
12 0.640749 0.0928445
# INSIDE FILES LOOP
# new_prof_[36]
0 0.856456  0.00014799
1 1.45983   0.000287867
2 2.47356   0.000641108
3 3.34901   0.00121615
4 4.22339   0.00220688
5 5.12074   0.00392198
6 5.98167   0.00682634
7 6.8353    0.0118625
8 7.6307    0.020445
9 8.42374   0.0356266
10 9.24589  0.0595167
11 9.98502  0.0990421
12 10.9435  0.152272
# new_prof_[37]
0 0.726841  0.000144334
1 1.51016   0.000281495
2 2.68533   0.000640483
3 3.72909   0.00122828
4 4.77372   0.00225211
5 5.84413   0.00403023
6 6.87694   0.00702245
7 7.90156   0.0121439
8 8.86535   0.0208664
9 9.80577   0.0359174
10 10.8162  0.0604864
11 11.6611  0.103013
12 12.8399  0.139067
# new_prof_[38]
0 1.16927   0.000250215
1 1.33836   0.000439115
2 1.96242   0.000947196
3 2.43166   0.0017427
4 2.89512   0.00309891
5 3.3748    0.00545937
6 3.8209    0.00950839
7 4.26182   0.0166517
8 4.65082   0.029005
9 5.08816   0.0510285
10 5.45592  0.0882727
11 5.93972  0.1493
12 6.36631  0.293401
# new_prof_[39]
0 1.0183    0.00019326
1 0.969271  0.000283865
2 1.08822   0.000548455
3 1.15754   0.00093759
4 1.2214    0.0015873
5 1.28561   0.00270812
6 1.33962   0.00457089
7 1.39868   0.00779442
8 1.42763   0.0131309
9 1.45329   0.0216673
10 1.56838  0.0375032
11 1.50362  0.0650066
12 1.62772  0.10213
# new_prof_[40]
0 1.02954   0.000237758
1 0.94605   0.000347182
2 1.04555   0.000670915
3 1.09387   0.00114465
4 1.13918   0.00193713
5 1.19193   0.00329609
6 1.23208   0.00557878
7 1.28068   0.00943357
8 1.30246   0.0156931
9 1.29517   0.0263055
10 1.3521   0.0443971
11 1.37893  0.0766844
12 1.63679  0.130331
# new_prof_[41]
0 1.00669   0.000239702
1 0.993001  0.000359349
2 1.13187   0.000702668
3 1.22273   0.00121276
4 1.30559   0.00206483
5 1.38153   0.00354821
6 1.44975   0.00600024
7 1.51954   0.0102295
8 1.55584   0.0175385
9 1.61526   0.0287698
10 1.78997  0.0524561
11 1.63132  0.0864923
12 1.61829  0.121502
# new_prof_[42]
0 0.963308  0.000169944
1 0.996556  0.00025905
2 0.954914  0.000474305
3 0.932233  0.000785876
4 0.912553  0.00129392
5 0.901923  0.00215182
6 0.875968  0.00352908
7 0.851261  0.00575432
8 0.841238  0.00968572
9 0.852513  0.0162228
10 0.827651 0.0275911
11 0.811505 0.0464541
12 0.865243 0.0736975
# new_prof_[43]
0 0.992131  0.000228449
1 0.948892  0.000341843
2 0.950642  0.000631484
3 0.938774  0.00104821
4 0.929402  0.00173091
5 0.925723  0.0028788
6 0.910977  0.00473784
7 0.888331  0.00778789
8 0.885694  0.0131232
9 0.880469  0.0217778
10 0.85819  0.0358071
11 0.845518 0.0611585
12 0.806438 0.0925186
# new_prof_[44]
0 0.932543  0.000235382
1 1.04743   0.000370214
2 0.959473  0.000665765
3 0.925252  0.00109778
4 0.894569  0.00179403
5 0.87652   0.00296282
6 0.838601  0.00483248
7 0.811693  0.00790925
